vendor,avg_lead_time,lead_time_std,lead_time_variance_score,late_delivery_rate,composite_risk_score,risk_band
1,6.0,0.0,0.0,1.0,0.599999999469282,High
2,4.5,1.0801234497346432,0.3118047821411515,0.3,0.30472191258692494,Medium
3,2.0555555555555554,1.9242178616479393,0.5554738500406105,0.0,0.22218953981971087,Low
4,2.2857142857142856,1.85756546332813,0.5362329599901268,0.7857142857142857,0.6859217548179039,High
5,3.142857142857143,0.37796447300922725,0.10910894508649917,0.7142857142857143,0.4722150061883399,Medium
6,4.4,1.5491933384829666,0.4472135953708585,0.6666666666666666,0.5788854376363018,High
7,4.090909090909091,1.2309149097933274,0.3553345271567745,0.4090909090909091,0.3875883559744217,Medium
8,3.263157894736842,0.7334928056269077,0.2117411343275501,0.21052631578947367,0.21101224301805757,Low
9,3.4285714285714284,2.138089935299395,0.6172133996701935,1.0,0.8468853591189819,Critical
10,4.5,0.5345224838248486,0.15430334991754832,0.5,0.36172133964706593,Medium
11,3.1666666666666665,1.7494587907710375,0.5050252517481196,0.4166666666666667,0.45201010029943134,Medium
12,2.142857142857143,0.5909368402852788,0.17058877185714158,0.35714285714285715,0.2825212227786724,Medium
13,4.125,0.9574271077563381,0.27638539911649773,0.6875,0.5230541591839419,High
14,2.923076923076923,1.255755978254962,0.3625055259363458,0.38461538461538464,0.37577144081138797,Medium
15,2.0,0.0,0.0,0.0,0.0,Low
16,2.0,1.7320508075688774,0.49999999985566246,0.47058823529411764,0.48235294069207996,Medium
17,4.411764705882353,0.5072996561958923,0.14644479648997655,0.4117647058823529,0.3056367418550575,Medium
18,3.0,1.133893419027682,0.3273268352594975,0.4,0.37093073377569963,Medium
19,3.4583333333333335,1.9332146390351255,0.5580709959630262,0.5,0.5232283979223993,High
20,3.6666666666666665,1.3662601021279464,0.3944053187594527,0.6666666666666666,0.5577621270104237,High
21,2.235294117647059,0.4372373160976031,0.12621954103791388,0.7058823529411765,0.474017227760589,Medium
22,3.5625,1.5903353943953669,0.4590902838954494,0.5625,0.5211361130972193,High
23,4.1,1.5525869752736798,0.4481932539279007,0.55,0.5092773011206891,High
24,2.6666666666666665,0.48795003647426666,0.14085904241409028,0.3333333333333333,0.2563436167388925,Medium
25,2.75,1.5,0.43301270176721934,1.0,0.7732050800229646,Critical
26,4.769230769230769,1.5358952955766088,0.4433747810461262,0.5384615384615384,0.500426835052731,High
27,2.1818181818181817,0.8738628975053029,0.2522624894819346,0.2727272727272727,0.2645413591951427,Medium
28,4.0,1.1547005383792515,0.3333333332371083,0.7142857142857143,0.5619047613692502,High
29,4.4,2.1908902300206643,0.6324555318511017,0.6,0.6129822121982396,High
30,3.25,1.0350983390135313,0.2988071522473402,0.0,0.11952286079321454,Low
31,3.0833333333333335,2.244155049023567,0.6478317606414943,0.25,0.40913270389470763,Medium
32,2.9411764705882355,1.7128407776006982,0.4944545418706288,0.11764705882352941,0.26837005180498785,Medium
33,4.2,1.6431676725154984,0.4743416488883263,1.0,0.7897366588567848,Critical
34,3.5,1.591644851508443,0.45946829160370367,0.9375,0.746287315981368,High
35,5.3076923076923075,1.1094003924504583,0.32025630751772427,0.9230769230769231,0.6819486762500395,High
36,3.1666666666666665,0.408248290463863,0.11785113016373723,1.0,0.6471404514930797,High
37,3.4,1.3498971154211057,0.38968173137084594,0.6,0.5158726920920335,High
38,3.0,1.2649110640673518,0.36514837156470153,0.3125,0.3335593483308374,Medium
39,2.6470588235294117,2.343639703287075,0.6765505065928403,0.29411764705882354,0.4470907904769651,Medium
40,3.7777777777777777,1.6647047275914606,0.4805588611593608,0.8888888888888888,0.7255568771553008,High
41,2.6666666666666665,1.3026778945578592,0.37605071643662097,0.08333333333333333,0.20042028639737064,Low
42,3.7222222222222223,1.3636264606493254,0.3936450519513568,0.4444444444444444,0.42412468707205836,Medium
43,2.3333333333333335,0.816496580927726,0.23570226032747446,0.16666666666666666,0.1942809039591425,Low
44,3.0,0.632455532033676,0.1825741857823508,0.4375,0.3355296740161543,Medium
45,3.466666666666667,1.1254628677422756,0.32489314473317693,0.13333333333333333,0.2099572577075573,Low
46,1.7894736842105263,1.0316624861746777,0.2978153069669225,0.6842105263157895,0.5296524381077492,High
47,2.0,0.0,0.0,0.0,0.0,Low
48,3.6,2.02837021134844,0.5855400436000892,0.7333333333333333,0.6742160168436713,High
49,1.5,1.4142135623730951,0.40824829034601195,0.0,0.16329931599396164,Low
50,4.384615384615385,1.12089707663561,0.32357511437130887,0.8461538461538461,0.6371223528772774,High
51,3.95,1.0500626547722611,0.3031269781118638,0.55,0.45125079084560066,Medium
52,3.3333333333333335,1.7320508075688772,0.4999999998556624,1.0,0.7999999992346409,Critical
53,3.5555555555555554,1.885618083164127,0.5443310537946826,0.3333333333333333,0.41773242114837617,Medium
54,2.8823529411764706,0.7812132344290249,0.22551683553094679,0.8823529411764706,0.6196184983701899,High
55,3.4545454545454546,0.9116846116771038,0.2631806779079339,0.5454545454545454,0.43254499805330177,Medium
56,2.3333333333333335,0.48795003647426644,0.14085904241409022,0.3333333333333333,0.25634361673889244,Medium
57,3.75,2.0056737702645644,0.5789881454172695,0.4166666666666667,0.4815952577409224,Medium
58,3.230769230769231,1.3358949751441487,0.3856396616429468,0.3076923076923077,0.33887124897282156,Medium
59,3.6,1.8973665961010278,0.5477225573470523,0.9,0.759089022267384,Critical
60,3.6,1.7126976771553504,0.49441323233031936,0.6,0.5577652924387676,High
61,3.5555555555555554,1.8782379449307742,0.5422005913974561,1.0,0.8168802358364273,Critical
62,1.2,1.9321835661585918,0.5577733508617018,0.4,0.4631093399350466,Medium
63,2.6,1.2649110640673518,0.36514837156470153,1.0,0.7460593479659687,High
64,3.0,1.0,0.2886751345114796,0.2857142857142857,0.2868986249793928,Medium
65,3.736842105263158,1.1945294407402947,0.344830946983627,0.5789473684210527,0.4853007994168193,Medium
66,4.105263157894737,1.4489358870144542,0.4182717620824075,0.7368421052631579,0.6094139674518128,High
67,2.0,0.0,0.0,0.375,0.22499999980098073,Low
68,2.888888888888889,1.0540925533894598,0.3042903096372513,0.4444444444444444,0.38838279017803096,Medium
69,3.2142857142857144,1.3688047244316384,0.3951398879452519,0.14285714285714285,0.24377024067676437,Low
70,2.611111111111111,0.9785276387866009,0.2824765977499225,0.7222222222222222,0.5463239719500624,High
71,3.4210526315789473,1.304513083861144,0.3765804899556008,0.7894736842105263,0.6243164059563294,High
72,3.9047619047619047,1.13599128098599,0.32793243584249865,0.6666666666666666,0.531172973867161,High
73,2.923076923076923,1.4411533842457842,0.41602514704882576,0.46153846153846156,0.44333313535046576,Medium
74,4.0,2.057983021710106,0.594088525614506,1.0,0.8376354095048887,Critical
75,3.6666666666666665,1.5811388300841898,0.4564354644558769,0.5555555555555556,0.5159075186593485,High
76,4.470588235294118,1.4194033543545477,0.40974645424434436,0.7058823529411765,0.5874279929428459,High
77,2.4,1.2421180068162374,0.3585685826968082,0.3333333333333333,0.3434274327749514,Medium
78,2.0,0.0,0.0,0.0,0.0,Low
79,4.222222222222222,1.3527990831890464,0.3905194573066042,0.3333333333333333,0.3562077826075652,Medium
80,3.0,1.0,0.2886751345114796,0.0,0.11547005370245511,Low
81,3.0,0.0,0.0,0.0,0.0,Low
82,2.2666666666666666,1.7511900715418263,0.5055250294575042,0.7333333333333333,0.6422100112149476,High
83,4.0,1.3662601021279466,0.3944053187594528,0.125,0.23276212729789603,Low
84,3.6923076923076925,2.6890089681459286,0.7762500255821008,0.6923076923076923,0.725884624975389,High
85,4.2,1.5491933384829668,0.44721359537085853,0.7,0.5988854376186112,High
86,2.888888888888889,2.4209731743889917,0.6988747567654259,0.5555555555555556,0.6128832354973901,High
87,4.166666666666667,1.80067327475704,0.5198095998017149,0.75,0.6579238393387326,High
88,1.875,1.5438048235879214,0.4456580651087142,0.4375,0.4407632256536174,Medium
89,4.111111111111111,1.6158932858054431,0.466468211636083,0.6666666666666666,0.586587284135579,High
90,3.25,1.914854215512676,0.5527707982329954,0.75,0.6711083186995827,High
91,3.1176470588235294,1.3173056280328643,0.3802733793651162,0.29411764705882354,0.3285799396907018,Medium
92,3.0625,0.997914491994847,0.28807310020756727,0.375,0.3402292397820839,Medium
93,2.4166666666666665,0.5149286505444371,0.14864709745973004,0.16666666666666666,0.1594588388428459,Low
94,2.375,1.0246950765959597,0.29580398906958955,0.4375,0.38082159529098775,Medium
95,4.15,1.4244112357114616,0.411192105068669,0.35,0.3744768416962316,Medium
96,2.9166666666666665,0.996204919895622,0.2875795892518664,0.5,0.4150318353336384,Medium
97,4.181818181818182,1.6011359603844901,0.4622081387351597,0.36363636363636365,0.4030650733193589,Medium
98,2.608695652173913,0.9409439377939297,0.2716271178104239,0.6086956521739131,0.4738682380093667,Medium
99,4.411764705882353,1.8048138245194352,0.5210048735613259,0.35294117647058826,0.4201666549352333,Medium
100,3.8421052631578947,1.9224740395512592,0.5549704519622872,0.7894736842105263,0.6956723906958875,High
101,1.75,1.9820624179302297,0.5721721351061575,0.125,0.3038688537736819,Medium
